"Name","Extension","Size","LastWriteTime","FullName"
"$RQ9QBO1.ps1",".ps1","6012","2026-01-15T05:32:36.4414573-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RQ9QBO1.ps1"
"$RH2LGLN.chpl",".chpl","5954","2026-01-18T05:47:24.2983028-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RH2LGLN.chpl"
"$RC31ZO2.ps1",".ps1","5948","2026-01-16T20:26:47.7755505-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RC31ZO2.ps1"
"$RU03WY4.json",".json","5934","2026-01-15T22:27:13.4934315-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RU03WY4.json"
"$RO2Q8GA.md",".md","5865","2026-01-18T09:46:58.3509378-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RO2Q8GA.md"
"$RB4HT93.py",".py","5851","2026-01-23T20:12:59.4277630-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RB4HT93.py"
"$R1BNJ2H.ps1",".ps1","5848","2026-01-18T05:41:53.5972468-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R1BNJ2H.ps1"
"$RI59VPK.ps1",".ps1","5843","2026-01-24T00:47:15.9731885-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RI59VPK.ps1"
"$ROVSM07.py",".py","5789","2026-01-23T23:00:09.4150249-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$ROVSM07.py"
"$R6FFEYX.json",".json","5776","2026-01-15T22:26:38.7481880-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R6FFEYX.json"
"$ROUZOGS.md",".md","5773","2026-01-23T20:21:59.1191443-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$ROUZOGS.md"
"$R81R2N4.json",".json","5730","2026-01-15T22:26:56.4816512-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R81R2N4.json"
"$RE7MX38.txt",".txt","5658","2026-01-23T11:39:49.8440434-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RE7MX38.txt"
"$R7FUPRW.ps1",".ps1","5644","2026-01-16T02:45:25.0623588-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R7FUPRW.ps1"
"$R57UJXW.ps1",".ps1","5626","2026-01-16T07:41:24.9922290-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R57UJXW.ps1"
"$RDU6V7B.ps1",".ps1","5480","2026-01-15T23:18:38.5843528-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RDU6V7B.ps1"
"$RB7650M.py",".py","5470","2026-01-24T00:22:15.0034029-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RB7650M.py"
"$RFLW7VB.md",".md","5459","2026-01-16T20:26:47.1034704-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RFLW7VB.md"
"$RW5D669.ps1",".ps1","5432","2026-01-17T00:13:30.4418322-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RW5D669.ps1"
"$R4D1GO9.md",".md","5398","2026-01-23T11:21:53.9630886-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R4D1GO9.md"
"$RPQYN7L.ps1",".ps1","5397","2026-01-16T20:26:46.6408018-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RPQYN7L.ps1"
"$RQPBF14.toml",".toml","5361","2026-01-16T18:54:12.7603342-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RQPBF14.toml"
"$RTKEERF.toml",".toml","5361","2026-01-16T18:49:20.2897222-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RTKEERF.toml"
"$RNFBF0I.md",".md","5354","2026-01-16T20:26:44.9571888-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RNFBF0I.md"
"$R4G93L1.json",".json","5313","2026-01-18T13:51:21.2445162-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R4G93L1.json"
